sizeCol,sizeRow,title,number,solution,difficulty,colClues,rowClues
20,20,Something on my hat,16966,http://static.nonograms.org/files/nonograms/large/chto_to_na_moey_shlyape_12_1_1p.png,3/10," , , , ,10, , ,1,2,1, , ,1,2,1, , ,1,2,1, , , , ,16, , , ,1,1, , ,1,16,1, , , ,4,4, , , ,1,1, , , ,1,1, ,1,1,1,1, , , ,2,2,1,1,2,1,1, ,3,2,2,3, ,3,1,1,3, , ,4,4,4, , , ,6,6, ,2,5,4,3, ,4,2,1,5, , , ,9,9"," , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , ,1,1,1, , , , , , , , , ,4,1,5,5,1,1,1,1,1,1,1,4, , , , , , ,1,1,3,1,1,1,1,1,1,1,1,1,1,3, ,1, , , ,1,2,2,1,4,1,1,1,1,1,1,2,1,4,1,1,2,1, ,1,1,1,5,5,4,3,2,1,1,1,1,2,3,4,4,2,1,1,1,2,3,4,2,1,1,1,4,3,1,1,3,1,1,1,2,8,4,3,2"
24,20,The little Panda - Malyshariki (cartoon),17057,http://static.nonograms.org/files/nonograms/large/pandochka_malisharik_mult_12_1_1p.png,4/10," , , , , ,2,2, , , , , ,4,4, , , , , ,5,6, , , , , , ,13, , , , ,4,2,5, , , , , , ,13, , , ,2,4,4,2, , , , , ,5,5, , , , , ,4,4, , , , , ,3,3, , , ,1,3,3,1, ,1,2,2,2,2,1, , , ,1,5,5,1,1,1,3,1,1,3,1, , , ,1,3,3,1, , , , ,2,1,2, , , , ,2,2,2, , , , ,4,3,2, , , , ,3,3,4, , , , , ,3,9, , , ,3,2,2,2, , , , , ,3,3, , , , , ,4,4, , , , , ,4,4"," , , , , ,8,7, , , , , , ,6, , , , , , , , , , ,5,3,1, ,2, ,3,2,5,3,7, ,5, , , , , , , ,2,1,3,6,2, ,1,1,3,1,1,8,2, , , , ,3,10,4,3,2,1,5,3,3,1,2,4,3,3,5,3,4, , ,2,3,4,4,2,2,3,6,5,1,5,5,3,2,3,4,2,2,10,3"
30,45,Lotus flower,17190,http://static.nonograms.org/files/nonograms/large/lotos8_12_1_1p.png,5/10," , , ,1,1,1, ,2,3,3,3,2, ,4,5,5,4,4, ,4,7,6,6,4, ,2,8,8,6,2, , , ,9,8,6, , ,10,8,8,1, ,1,10,7,9,3, ,2,9,6,9,5, ,4,9,6,9,6, ,6,7,6,7,6, ,7,5,5,5,8, , ,9,7,4,10, , ,10,2,1,11, ,12,1,2,12,1, ,2,11,4,12,3, ,5,8,4,10,5, ,8,8,2,9,5, , ,9,7,7,6, , ,9,7,5,9, , ,11,6,4,11, , ,11,6,4,10, , ,11,5,3,12, , ,11,5,2,12, , ,13,4,1,12,2,12,3,1,13,2, , ,4,13,18,4, , , ,4,29,4, , , ,2,25,2, , , , , ,20"," , ,4,4, , , , , , , , , , , , , , ,2,7, , , , , ,4,2, , , , , , , , , , , , , ,2, , , , , ,2,2,4,2, , ,2,7,10,9,10,9,9,9,9,8,5,3,1,11,12,12,11,10,1,6,8,10,10,11,10,11,7,4, , ,2,4,4,8,6,3, , ,3,4,5,6,6,6,7,6,6,5,5,6,7,7,6,7,7,7,7,6,6,2,4,4,2,3,4,5,7,7,7,6,7,7,7,7,8,8,8,8,7,5,6,3, ,2,4,4,2,7,8,10,10,10,10,10,9,9,9,8,7,6,6,4,3,3,9,7,4,8,4,5,6,7,8,8,9,10,9,10,9,9,9,9,7,2,4,4,2,3"
45,40,Friends,17285,http://static.nonograms.org/files/nonograms/large/druzya11_12_1_1p.png,6/10," , , , , , , , ,1, , , , , , , ,1,2, , , , , , , ,3,3, , , , , , ,3,2,1, , , , , , ,4,2,4, , , , , ,1,4,3,3, , , , , ,1,3,4,2, , , ,1,4,1,1,1,2, , , , , ,6,1,2,2, , , , , ,5,1,3,4, , ,3,2,2,2,1,2,6, , ,4,1,4,1,2,6,2, , , ,5,2,3,2,5,3, , ,4,3,1,3,1,2,2, , , , , ,3,2,3,2, , , ,2,2,2,4,1,2, , , , ,5,4,3,1,1, ,2,2,1,3,3,1,2,1, , , ,3,1,1,4,5,5, , ,4,1,1,2,1,4,3, , ,3,2,3,1,2,1,4, , , ,3,2,5,1,1,5, , , , ,3,2,2,2,6, , ,2,1,2,1,3,3,5, , , ,3,2,4,2,2,7, , , , ,3,7,2,2,7, , , , ,2,10,2,2,4, , ,3,1,3,5,2,1,6, , , ,3,1,3,3,1,7, ,4,2,1,2,2,2,1,5, ,1,6,1,2,1,2,2,5,2,2,2,3,2,1,2,3,4, , ,2,2,2,2,3,3,9, ,2,3,2,3,2,3,1,8,4,4,4,1,3,1,2,4,5, , , ,10,5,3,1,7,5, , , , ,15,3,2,6,5, , , , , ,3,6,13,4, , , , , , , , ,14, , , , , , , , ,16, , , , , , , ,1,16, , , , , , , ,4,17, , , , , , , ,9,9, , , , , , , ,8,5, , , , , , , ,4,2"," , , , , , , , , , , ,2, , , ,3, , , , , , , , , , , , , , , , , ,4, , , , ,4, , , , , , , , , , , ,2,5,9, , ,4,3, , ,3, , ,1, , , , , , , , , , ,2, , , , ,4, , , , , , , , , , ,5,2,7,6, , ,2,2,1, ,3, ,1,2,1,2,5, , , , , , ,3,4, , , , ,1, , , , , , , , , , ,1,1,3,1, ,9,3,3,1,4,1,2,2,6,1,4,1,5, ,2,3, ,2,2,2,3, , , ,3, , , , , , , , ,2,3,3,1,1,1,18,6,5,8,2,10,8,10,6,2,10,7,1,1,11,8,4,4,5,3,2,4, , , ,2, , , , , , ,2,7,1,6,3,4,3,2,7,9,5,2,12,3,1,8,6,5,4,2,1,2,4,4,3,3,2,5,2,17,2,4,25,4,1,3,4,3,3,3,2,3,11,5,3,9,2,2,3,3,3,3,4,4,9,11,10,6,7,10,8,11,11,9,11,13,13,4,3,2,21,20,3,2,1"
36,45,Hedgehog,17385,http://static.nonograms.org/files/nonograms/large/yozhik31_12_1_1p.png,4/10," , , , ,1, ,2,2,1,1, ,2,1,1,1, ,2,2,1,2,4,2,2,2,2, , , ,17,1, , , ,14,2, , , ,6,16, , , , ,25, , , , ,23, , ,6,22,1, , , , ,29, , , , ,34, , , ,33,1, , , , ,33, , , , ,38, , , , ,34, , , , ,34, , ,30,3,2, , ,27,2,8, , ,31,2,8, , , ,29,7, , , ,31,8, , , ,2,41, , , , ,41, , , , ,41, , , , ,37, , , , ,38, , , , ,32, , , , ,30, , , , ,29, , , , ,27, , , , ,28, , ,13,6,4, , ,6,4,3, , , , ,3"," , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , ,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, ,17,11, , , ,2,2, , , , , ,1,1,2,2,1,1,2,2, ,1,1, , ,1,2,2,26, ,2,2,3,1,2,2, , ,2, , ,1,28,6,13,2,2,13,12,9,6,2,2, , , ,1,1,2,11,14,17,20,20,20,23,23,23,24,24,25,26,25,2,26,26,26,26,30,29,29,31,29,28,32,31,30,3,2,6,6,5,6,10,10,8,7,7,6,6,3"
13,25,Sirtaki,17473,http://static.nonograms.org/files/nonograms/large/sirtaki_12_1_1p.png,4/10," , , , , , , ,2, , , , , ,2,1,2, , , , , ,1,1,2, , , , , , ,8,1, , , , , ,7,2,8, , , , ,2,2,2,8, , , , ,2,2,2,2, , , , ,2,2,2,2, , ,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2, , ,2,2,2,1,2,1"," ,1,1,2,1,2, ,1,1,2,1,2, ,1,1,2,1,2, ,1,1,2,1,1, ,1,1,9,4,3,2,2,1,10,5,3,2,2,1,9,5,3,2,2,1,8,4,3,2,1"
80,55,Defile,17590,http://static.nonograms.org/files/nonograms/large/defile_12_1_1p.png,7/10," , , , , , , , ,4,14, , , , , , , ,7,1,13, , , , , , ,3,2,3,13, , , , , ,2,2,2,2,13, , , , , ,3,7,2,2,12, , , , , ,3,6,2,2,11, , , , , , ,3,11,4,9, , , , , , ,3,13,2,8, , , , , , ,2,10,2,8, , , ,2,2,2,1,2,2,8, , , ,1,1,1,1,4,3,9, , , , ,2,1,1,3,4,9, , , , ,2,3,1,3,5,10, , , , , , ,1,4,5,11, , , , , , , ,7,7,13, , , , , , , ,3,8,14, , , , , , , ,2,12,16, , , , , , ,1,11,4,17, , , , ,1,2,2,1,1,17, , , , , ,2,2,2,1,18, , , , , , ,1,4,2,18, , , , , , ,2,3,1,18, , , , , , ,2,1,1,18, , , , , ,1,1,2,1,18, , , , ,2,1,2,4,1,18, , , , ,2,2,2,4,3,18, , , , ,2,2,1,2,3,18, , , , , , ,3,3,2,14, , , , , ,4,2,2,3,12, , , , ,2,1,1,6,3,10, , ,2,1,2,1,3,1,2,10, , ,2,2,1,2,2,1,2,9, ,3,2,1,4,1,2,1,2,8, ,3,3,1,5,2,2,1,3,8, ,2,4,1,1,3,5,2,2,8, ,2,2,1,2,2,6,2,1,7, ,2,2,1,1,2,2,7,2,7,3,2,2,2,1,3,1,6,2,7, , ,2,3,3,2,1,7,2,7, , ,2,3,3,3,1,6,2,7, , ,2,4,2,2,3,6,1,6, ,2,1,4,2,4,2,6,2,5,1,5,2,4,3,2,4,1,1,5, , ,1,2,2,5,5,6,1,5, , , ,2,1,2,6,10,3,4, , ,2,2,10,5,3,1,1,4, , , ,2,4,16,2,4,1,4, , , , ,8,16,3,3,1,3, , , ,7,1,14,1,4,1,2, , , , ,7,1,13,6,2,2, , , , ,8,1,12,7,2,2, , , ,7,2,12,1,5,2,2, , ,7,2,8,2,1,5,2,2, ,6,1,10,2,1,1,4,1,2, ,5,1,10,1,1,1,3,2,3, , ,7,2,11,2,1,1,6,3, ,6,1,13,1,1,1,1,3,3, , ,4,1,16,1,1,1,1,4, , , , ,5,17,3,1,1,5, , , , , ,5,18,4,1,5, , , ,2,3,10,8,3,1,5, , , , ,2,9,10,2,1,4, , , , ,4,9,11,2,1,4, , , ,5,9,9,1,2,1,3, , , , ,11,10,2,2,1,3, , , , ,9,13,1,2,2,3, , , , ,2,10,1,2,4,3, , , , , ,1,2,4,2,4, , , , , , ,1,9,3,5, , , , ,3,3,6,1,2,8, , , , ,2,1,11,1,1,7, , , , ,2,4,15,1,2,6, , , , ,2,9,2,2,2,5, , ,4,2,2,5,2,1,1,4, , ,2,1,2,1,11,2,2,3, , ,2,2,3,4,4,2,2,2, , , , ,2,2,5,7,2,1, , , , ,2,2,4,4,2,2, , , , ,1,2,2,4,3,2, , , , ,1,5,2,3,2,4"," , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , ,2, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , ,3,5, ,2,1, ,4, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,2, ,2,1,2,2,7,2,9,5, ,5,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,3,1,2,1,1,2,9,2,1,1,1,5,2,6,4,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,4,1,1,1,2,2,1,3,2,6,4,2,5,3,1,1,3,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,7,2,2,2,1,3,7,2,5,2,7,1,8,3,2,11,2,1,6,6, , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,5,3,1,6,1,1,2,2,2,1,2,2,5,1,1,10,3,4,13,3,15,4, , ,35,3,41, , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,6,8,4,3,1,4,1,4,2,1,1,5,3,2,5,1,11,7,1,14,4,16,6,7,1,4,4,44, , , , , , , , , , , , , , , , , , , , , , , ,2,3,9,2,8,13,3,2,3,2,3,2,1,2,2,1,2,1,1,7,1,4,2,3,12,3,19,22,2,2,3,8, , , , , , , , , , , , , , , , , , , ,2, ,2,4,4,4,3,5,10,1,25,25,2,1,22,1,16,14,1,1,1,2,1,1,8,3,12,11,2,13,7,8,11,3,2,3,47, , , , , , , , , , , , , , , , , , ,2,2,2,9,11,4,4,8,2,1,1,1,22,22,2,2,6,6,6,6,8,10,6,5,2,2,7,5,8,5,23,10,2,2,2,2,4, , , , , , , ,2, ,2,2,2,2,2,2,2,2,2,3,2,5,6,1,2,2,2,1,2,2,2,1,2,2,17,2,1,14,12,11,10,12,10,8,1,2,2,5,4,2,3,1,2,3,5,6,48, , , ,2,2,2,3,1,1,2,2,2,2,2,3,2,2,1,6,2,2,1,1,1,1,2,1,1,2,3,3,1,9,1,3,3,3,3,3,3,3,3,2,2,3,1,2,3,1,2,3,2,2,7,21,76,77,5,4,3,3,5,9,7,7,6,5,4,5,5,4,4,1,2,7,13,4,3,1,1,1,1,2,1,2,4,4,3,1,2,2,1,2,2,2,2,2,1,7,13,4,4,1,4,4,2,1,1,2,1,1,1"
30,20,Dragon,17672,http://static.nonograms.org/files/nonograms/large/drakonchik17_12_1_1p.png,5/10," , ,1, ,1,1, ,2,3, ,4,6, ,4,6, ,6,8, ,5,9,6,5,2, ,5,10, ,4,9, , ,8, , ,7, , ,7, ,7,1, ,9,3,9,1,1, ,12,1, ,11,1, ,12,3, ,11,1,11,2,1,9,3,2, ,5,1, ,4,2, ,5,1, ,4,1, ,5,2, ,5,2, , ,13, , ,9"," , , , , , , , , , , , , ,2, , , , , , , ,5, , , , , , , , , , ,8,2, , , , , , , ,1, , , , , , , , , , ,3,2,5, , , , , ,1,1,6, , , , ,4, , , ,11,4,1,2, , ,1, , ,1,1,1,7,7,7,14,12,20,22,19,6,1,2,2,4,2,1,7,1,1,1,9,13,15,16,5,4,3,2,2,2,2,2,2,2,2,3,4,3"
15,15,Bunny,17739,http://static.nonograms.org/files/nonograms/large/zaychik22_12_1_1p.png,6/10," , , ,6, , ,1,6, ,2,1,2, ,3,1,1, , ,2,2, , ,2,2, , ,2,1, , ,4,2, ,2,1,1,2,2,2,1,1,1,2,3, , ,3,1, , ,2,4, , ,2,1, ,2,8,3"," , , , , , ,2, , , , , , , , , , , , , , ,2,2,1, ,1, ,1, , , ,2, ,1,1,1,2,3,1,1,1,2,2, , , ,1,1,1,1,1,1,2,1,1,2,1,1,2, ,2,1,1,2,1,1,1,1,3,1,1,1,1,2, ,1,1,5,3,2,1,1,1,1,1,2,1,1,1,1"
75,55,Sergei Suponev,17834,http://static.nonograms.org/files/nonograms/large/sergey_suponev2_12_1_1p.png,7/10," , , , , , ,20,4,2,19, , , , , , ,2,13,4,15, , ,1,1,10,4,4,1,1,13, , , , , ,1,13,16,2,11,1,1,7,2,5,10,1,2,1,10, , , , ,2,7,18,2,1,11, , , , ,11,19,1,4,1,7, , , , ,2,6,28,1,1,6, , , , ,1,1,33,2,2,5, , , , ,1,5,28,2,2,4,1,1,2,3,15,7,1,6,1,5, , , ,2,25,5,4,4,1,4, , , , ,6,4,27,1,4,3, , , , , , ,6,34,2,3, , , , , , ,15,26,3,3, , , , ,5,8,13,4,8,3, , , , , ,5,7,3,3,3, , , , , , ,5,6,3,2, , , , , , ,5,5,5,2, , , , , , ,5,5,5,2, , , , , , ,5,5,5,2, , , , , , ,5,4,3,2, , , , , , , ,10,1,2, , , , , , , ,10,2,2, , , , , , , ,9,2,3, , , , , , , ,9,3,3, , , , , , ,5,3,2,3, , , , , , ,5,3,2,3, , , , , ,5,2,3,3,3, , , , , ,5,2,5,3,4, , , , , ,5,2,8,3,4, , , , , ,8,11,6,3,4, , , , , ,6,1,13,5,8, , , , ,5,1,2,9,8,8, , , ,5,2,2,4,9,2,5, , ,5,2,4,2,3,1,2,5, , , , ,5,2,6,1,2,6, , , , , , ,8,2,1,6, , , , , , ,5,2,1,6, , , , , ,5,2,2,1,6, , , , , , ,5,1,2,6, , , , , , , ,5,2,6, , , , , ,6,3,1,1,7, , , , ,7,3,6,2,2,7, , , , , ,8,3,9,2,8, , , , , ,9,3,5,3,8, , , , , ,9,5,4,2,8, , , , ,9,7,1,2,2,9, , , , , ,9,8,1,1,11, , , , , ,10,3,9,2,11, , , , ,10,3,12,2,1,9, , , , ,10,2,1,11,2,8, , , , , , ,13,2,2,7, , , , , , ,13,6,1,7, , , , , , ,14,6,2,6, , , , , , ,14,3,1,2, , , , , , , , ,15,2, , , , , , , ,15,1,1, , , , , , , ,16,1,2, , , , ,11,1,3,2,2,3, , , , ,11,9,2,3,3,3, , , , , ,9,3,12,4,9, , , , , , , ,6,26,10, , , , , , , ,3,30,10, , , , , , , ,1,33,9, , , , , , , , ,33,10, , , , , , , , ,31,11, , , , , , , , ,31,12, , , , , , , , ,30,12, , , , , , , , , ,42, , , , , , , , , ,43, , , , , , , , ,24,15, , , , , , , ,25,14,2, , , , , , ,24,14,3,3, , , , , , , , ,38,10"," , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , ,4, ,13,1, , , , , , , ,1, ,5,1, , ,1, , , ,3, , , ,2, , , , , , , , , , , , , , , , , , , , , ,5,1, ,1,1,1, ,15,11, ,2,15, , , , , , ,1,11,9,5,2, , ,1,2, ,3,1,4,6,7,1, , , , , , , , , , ,1,2,15, , , , , ,5, ,5,8,8,2,12,12,13,14,6,6,16,5,3,15, , ,8,8,14,12,4,1,1,4,1,1,1,1, ,1,2,1,1,4,5,7, ,9, , , , , , , ,3,1,4,12, , , , ,3, ,9,1,1,9,6,6,5,8,2,1,4,2,2,1,8, ,4,4,5,6,1,3,3,4,1,2,4,1,2,2,1,6,2,5,9,4,8,1, , , , , ,2,1,1,3,2,18,10,9, ,7,1,4,3,3,3,6,1,1,2,4,4,6,4,3,2,2,6,14,1,4,2,3,3,1,3,3,3,2,3,4,1,3,1,3,5,4,8,11,1,2, , , , , ,3,1,3,1,1,6,30,18,24,13,5,10,5,4,1,1,2,2,2,2,2,2,3,11,2,1,2,2,1,1,1,2,2,3,2,1,3,5,1,3,3,8,4,5,2,4,1,12,16,3, , , , ,65,53,52,51,52,21,19,18,17,12,9,11,1,5,5,6,7,5,4,4,2,2,3,3,1,10,10,2,2,1,6,4,5,5,5,2,1,2,1,13,13,2,1,7,7,6,5,3,2,19,23,12,17, , ,9,10,10,11,11,11,12,12,12,13,13,14,28,15,13,17,16,15,16,16,15,14,14,15,1,2,3,13,13,13,6,7,8,8,9,9,10,11,12,1,2,19,3,1,2,2,2,1,1,1,1,26,32,56,55"
